compound	donor	gives to	average probability of donation
M_4abut_e	Ruminococcaceae_sp_DTU-UNIPD968	6	0.7399999999999999
M_4abut_e	Syntrophomonas_sp_DTU-UNIPD935	1	1.0
M_4abz_e	Actinobacteria_sp_DTU-UNIPD965	11	0.8272727272727273
M_4abz_e	Aminobacterium_colombiense_DTU-UNIPD933	4	1.0
M_4abz_e	Bacteroidales_sp_DTU-UNIPD922	11	0.5945454545454546
M_4abz_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	12	0.7758333333333334
M_4abz_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	3	1.0
M_4abz_e	Catabacter_sp_DTU-UNIPD932	6	0.8616666666666667
M_4abz_e	Clostridia_sp_DTU-UNIPD924	11	0.9145454545454544
M_4abz_e	Clostridia_sp_DTU-UNIPD951	11	0.9181818181818181
M_4abz_e	Clostridia_sp_DTU-UNIPD961	8	0.7062499999999999
M_4abz_e	Clostridiales_sp_DTU-UNIPD926	9	0.7744444444444444
M_4abz_e	Clostridiales_sp_DTU-UNIPD971	14	0.7642857142857143
M_4abz_e	Fermentimonas_massiliensis_DTU-UNIPD960	8	0.90625
M_4abz_e	Firmicutes_sp_DTU-UNIPD930	12	0.7774999999999999
M_4abz_e	Firmicutes_sp_DTU-UNIPD938	13	0.7876923076923076
M_4abz_e	Firmicutes_sp_DTU-UNIPD966	4	0.87
M_4abz_e	Ruminococcaceae_sp_DTU-UNIPD949	11	0.8227272727272728
M_4abz_e	Ruminococcaceae_sp_DTU-UNIPD968	14	0.6807142857142858
M_4abz_e	Synergistetes_sp_DTU-UNIPD919	9	1.0
M_4hba_e	Azonexus_sp_DTU-UNIPD953	2	0.1
M_4hbald_e	Limnochordia_sp_DTU-UNIPD962	1	1.0
M_4hthr_e	Firmicutes_sp_DTU-UNIPD959	5	0.28200000000000003
M_4hthr_e	Ilumatobacter_sp_DTU-UNIPD920	3	0.39666666666666667
M_4hthr_e	Tepidanaerobacter_sp_DTU-UNIPD928	2	0.515
M_5dglcn_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	1	0.05
M_5dglcn_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	1	0.03
M_5dglcn_e	Clostridia_sp_DTU-UNIPD961	3	0.15333333333333335
M_5dglcn_e	Firmicutes_sp_DTU-UNIPD959	3	0.12333333333333334
M_5dglcn_e	bin_8_metaspades	1	0.05
M_5mtr_e	Bacillus_sp_DTU-UNIPD918	2	1.0
M_5mtr_e	Bacillus_sp_DTU-UNIPD958	2	1.0
M_5mtr_e	Burkholderiales_sp_DTU-UNIPD944	2	1.0
M_5mtr_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	2	1.0
M_5mtr_e	Cloacibacillus_sp_DTU-UNIPD942	2	0.735
M_5mtr_e	Clostridia_sp_DTU-UNIPD946	2	1.0
M_5mtr_e	Clostridia_sp_DTU-UNIPD964	2	0.66
M_5mtr_e	Fermentimonas_massiliensis_DTU-UNIPD960	2	1.0
M_5mtr_e	Firmicutes_sp_DTU-UNIPD938	2	1.0
M_5mtr_e	Ruminococcaceae_sp_DTU-UNIPD949	2	1.0
M_LalaDgluMdapDala_e	Aminobacterium_colombiense_DTU-UNIPD933	2	1.0
M_LalaDgluMdapDala_e	Azonexus_sp_DTU-UNIPD953	5	0.8099999999999999
M_LalaDgluMdapDala_e	Bacillus_sp_DTU-UNIPD918	7	0.5533333333333333
M_LalaDgluMdapDala_e	Clostridia_sp_DTU-UNIPD946	2	0.125
M_LalaDgluMdapDala_e	Clostridia_sp_DTU-UNIPD948	4	0.77
M_LalaDgluMdapDala_e	Clostridia_sp_DTU-UNIPD961	8	0.40375000000000005
M_LalaDgluMdapDala_e	Fermentimonas_massiliensis_DTU-UNIPD960	6	0.7000000000000001
M_LalaDgluMdapDala_e	Limnochordia_sp_DTU-UNIPD962	7	0.6342857142857142
M_LalaDgluMdapDala_e	Limnochordia_sp_DTU-UNIPD975	4	0.6325000000000001
M_LalaDgluMdapDala_e	Pseudorhodobacter_sp_DTU-UNIPD967	1	1.0
M_LalaDgluMdapDala_e	Syntrophothermus_sp_DTU-UNIPD934	5	0.5399999999999999
M_LalaDgluMdapDala_e	bin_8_metaspades	7	0.5371428571428571
M_LalaDgluMdap_e	Acidaminococcales_sp_DTU-UNIPD952	5	0.6220000000000001
M_LalaDgluMdap_e	Bacillus_sp_DTU-UNIPD958	11	0.30272727272727273
M_LalaDgluMdap_e	Bacteroidales_sp_DTU-UNIPD936	2	1.0
M_LalaDgluMdap_e	Clostridia_sp_DTU-UNIPD946	7	0.39142857142857146
M_LalaDgluMdap_e	Clostridia_sp_DTU-UNIPD951	7	0.5157142857142857
M_LalaDgluMdap_e	Clostridiales_sp_DTU-UNIPD956	4	0.765
M_LalaDgluMdap_e	Fermentimonas_massiliensis_DTU-UNIPD960	3	1.0
M_LalaDgluMdap_e	Firmicutes_sp_DTU-UNIPD938	3	0.35000000000000003
M_LalaDgluMdap_e	Pseudorhodobacter_sp_DTU-UNIPD967	2	1.0
M_LalaDgluMdap_e	Sphaerochaeta_sp_DTU-UNIPD963	1	1.0
M_LalaDgluMdap_e	Syntrophothermus_sp_DTU-UNIPD934	5	0.67
M_LalaDgluMdap_e	Tepidanaerobacter_sp_DTU-UNIPD928	5	0.618
M_abt__L_e	Acholeplasmatales_sp_DTU-UNIPD950	1	0.23
M_abt__L_e	Bacillus_sp_DTU-UNIPD918	1	0.01
M_abt__L_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	1	1.0
M_abt__L_e	Clostridia_sp_DTU-UNIPD951	1	0.2
M_abt__L_e	Firmicutes_sp_DTU-UNIPD940	2	0.64
M_abt__L_e	Ruminococcaceae_sp_DTU-UNIPD949	1	0.23
M_ac_e	Actinobacteria_sp_DTU-UNIPD965	3	0.043333333333333335
M_ac_e	Bacillus_sp_DTU-UNIPD918	3	0.01
M_ac_e	Bacteroidales_sp_DTU-UNIPD922	4	0.0225
M_ac_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	1	0.01
M_ac_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	2	0.015
M_ac_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	2	0.01
M_ac_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	1	0.02
M_ac_e	Cloacibacillus_sp_DTU-UNIPD942	2	0.065
M_ac_e	Clostridia_sp_DTU-UNIPD924	2	0.015
M_ac_e	Clostridia_sp_DTU-UNIPD948	1	0.01
M_ac_e	Clostridia_sp_DTU-UNIPD951	3	0.08666666666666667
M_ac_e	Clostridia_sp_DTU-UNIPD961	3	0.02
M_ac_e	Clostridia_sp_DTU-UNIPD964	3	0.013333333333333334
M_ac_e	Clostridia_sp_DTU-UNIPD970	2	0.025
M_ac_e	Clostridiales_sp_DTU-UNIPD956	4	0.1525
M_ac_e	Clostridiales_sp_DTU-UNIPD971	1	0.01
M_ac_e	Firmicutes_sp_DTU-UNIPD921	4	0.015
M_ac_e	Firmicutes_sp_DTU-UNIPD974	1	0.01
M_ac_e	Limnochordia_sp_DTU-UNIPD975	3	0.04666666666666667
M_ac_e	Pseudorhodobacter_sp_DTU-UNIPD967	2	0.01
M_ac_e	Ruminococcaceae_sp_DTU-UNIPD949	3	0.049999999999999996
M_ac_e	Syntrophomonas_sp_DTU-UNIPD935	3	0.04666666666666666
M_ac_e	Tepidanaerobacter_sp_DTU-UNIPD928	4	0.025
M_acac_e	Acidaminococcales_sp_DTU-UNIPD952	2	0.515
M_acac_e	Bacillales_sp_DTU-UNIPD969	6	0.38000000000000006
M_acac_e	Bacillus_sp_DTU-UNIPD918	3	0.44
M_acac_e	Bacillus_sp_DTU-UNIPD958	3	0.4633333333333334
M_acac_e	Burkholderiales_sp_DTU-UNIPD944	1	1.0
M_acac_e	Firmicutes_sp_DTU-UNIPD930	3	0.36333333333333334
M_acac_e	Firmicutes_sp_DTU-UNIPD938	4	0.10750000000000001
M_acald_e	Acetomicrobium_sp_DTU-UNIPD972	11	0.23030303030303034
M_acald_e	Acholeplasmatales_sp_DTU-UNIPD950	7	0.12142857142857144
M_acald_e	Acidaminococcales_sp_DTU-UNIPD952	6	0.2466666666666667
M_acald_e	Actinobacteria_sp_DTU-UNIPD965	8	0.11249999999999999
M_acald_e	Aeromicrobium_sp_DTU-UNIPD973	4	0.14500000000000002
M_acald_e	Alcaligenaceae_sp_DTU-UNIPD943	1	0.13
M_acald_e	Aminobacterium_colombiense_DTU-UNIPD933	5	0.454
M_acald_e	Azonexus_sp_DTU-UNIPD953	3	0.6733333333333333
M_acald_e	Bacillales_sp_DTU-UNIPD969	6	0.14
M_acald_e	Bacillus_sp_DTU-UNIPD918	8	0.2275
M_acald_e	Bacillus_sp_DTU-UNIPD958	19	0.09315789473684213
M_acald_e	Bacteroidales_sp_DTU-UNIPD922	20	0.19549999999999998
M_acald_e	Bacteroidales_sp_DTU-UNIPD936	5	0.476
M_acald_e	Burkholderiales_sp_DTU-UNIPD944	3	0.7466666666666667
M_acald_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	11	0.16454545454545452
M_acald_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	15	0.2888888888888888
M_acald_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	13	0.3148717948717949
M_acald_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	12	0.2933333333333333
M_acald_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	8	0.19102272727272726
M_acald_e	Catabacter_sp_DTU-UNIPD932	7	0.29761904761904756
M_acald_e	Cloacibacillus_sp_DTU-UNIPD942	15	0.12666666666666668
M_acald_e	Clostridia_sp_DTU-UNIPD924	6	0.23055555555555554
M_acald_e	Clostridia_sp_DTU-UNIPD946	17	0.23235294117647057
M_acald_e	Clostridia_sp_DTU-UNIPD948	6	0.295
M_acald_e	Clostridia_sp_DTU-UNIPD951	16	0.16270833333333332
M_acald_e	Clostridia_sp_DTU-UNIPD961	17	0.20901960784313722
M_acald_e	Clostridia_sp_DTU-UNIPD964	20	0.12999999999999995
M_acald_e	Clostridia_sp_DTU-UNIPD970	13	0.12615384615384617
M_acald_e	Clostridiales_sp_DTU-UNIPD926	4	0.27416666666666667
M_acald_e	Clostridiales_sp_DTU-UNIPD939	13	0.19615384615384615
M_acald_e	Clostridiales_sp_DTU-UNIPD956	5	0.14666666666666667
M_acald_e	Clostridiales_sp_DTU-UNIPD971	15	0.2082222222222222
M_acald_e	Fermentimonas_massiliensis_DTU-UNIPD960	7	0.6328571428571428
M_acald_e	Firmicutes_sp_DTU-UNIPD921	13	0.19538461538461543
M_acald_e	Firmicutes_sp_DTU-UNIPD923	6	0.075
M_acald_e	Firmicutes_sp_DTU-UNIPD930	12	0.4566666666666667
M_acald_e	Firmicutes_sp_DTU-UNIPD938	13	0.23923076923076925
M_acald_e	Firmicutes_sp_DTU-UNIPD940	12	0.23277777777777772
M_acald_e	Firmicutes_sp_DTU-UNIPD945	12	0.31916666666666665
M_acald_e	Firmicutes_sp_DTU-UNIPD954	15	0.10600000000000002
M_acald_e	Firmicutes_sp_DTU-UNIPD959	15	0.3328888888888889
M_acald_e	Firmicutes_sp_DTU-UNIPD966	10	0.31500000000000006
M_acald_e	Firmicutes_sp_DTU-UNIPD974	10	0.11400000000000003
M_acald_e	Ilumatobacter_sp_DTU-UNIPD920	8	0.41375000000000006
M_acald_e	Limnochordia_sp_DTU-UNIPD962	13	0.2
M_acald_e	Limnochordia_sp_DTU-UNIPD975	16	0.221875
M_acald_e	Methanoculleus_thermophilus_DTU-UNIPD927	12	0.27749999999999997
M_acald_e	Methanothermobacter_wolfeii_DTU-UNIPD957	23	0.1434782608695652
M_acald_e	Petrimonas_sp_DTU-UNIPD925	5	0.65
M_acald_e	Pseudorhodobacter_sp_DTU-UNIPD967	5	0.3466666666666667
M_acald_e	Rikenellaceae_sp_DTU-UNIPD929	7	0.25666666666666665
M_acald_e	Ruminococcaceae_sp_DTU-UNIPD949	15	0.19999999999999998
M_acald_e	Ruminococcaceae_sp_DTU-UNIPD968	18	0.21000000000000002
M_acald_e	Sphaerochaeta_sp_DTU-UNIPD955	5	0.21799999999999997
M_acald_e	Sphaerochaeta_sp_DTU-UNIPD963	3	0.52
M_acald_e	Synergistetes_sp_DTU-UNIPD919	8	0.40291666666666665
M_acald_e	Syntrophomonas_sp_DTU-UNIPD935	7	0.23285714285714285
M_acald_e	Syntrophothermus_sp_DTU-UNIPD934	7	0.33
M_acald_e	Tepidanaerobacter_sp_DTU-UNIPD928	7	0.27999999999999997
M_acald_e	bin_8_metaspades	12	0.28607142857142853
M_actn__R_e	Firmicutes_sp_DTU-UNIPD938	3	0.05000000000000001
M_actn__R_e	Methanoculleus_thermophilus_DTU-UNIPD927	8	0.11250000000000002
M_actn__R_e	Syntrophothermus_sp_DTU-UNIPD934	2	0.02
M_ade_e	Aeromicrobium_sp_DTU-UNIPD973	13	0.6023076923076923
M_ade_e	Alcaligenaceae_sp_DTU-UNIPD943	13	0.8220512820512821
M_ade_e	Aminobacterium_colombiense_DTU-UNIPD933	10	0.9333333333333332
M_ade_e	Bacteroidales_sp_DTU-UNIPD936	5	1.0
M_ade_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	19	0.5459649122807017
M_ade_e	Catabacter_sp_DTU-UNIPD932	13	0.7223076923076923
M_ade_e	Cloacibacillus_sp_DTU-UNIPD942	20	0.5455
M_ade_e	Clostridia_sp_DTU-UNIPD951	15	0.6646666666666666
M_ade_e	Fermentimonas_massiliensis_DTU-UNIPD960	13	0.7715384615384616
M_ade_e	Firmicutes_sp_DTU-UNIPD921	17	0.6141176470588235
M_ade_e	Firmicutes_sp_DTU-UNIPD923	1	1.0
M_ade_e	Firmicutes_sp_DTU-UNIPD930	16	0.5506249999999999
M_ade_e	Firmicutes_sp_DTU-UNIPD954	14	0.6807142857142858
M_ade_e	Firmicutes_sp_DTU-UNIPD966	13	0.7138461538461538
M_ade_e	Firmicutes_sp_DTU-UNIPD974	13	0.7238461538461538
M_ade_e	Limnochordia_sp_DTU-UNIPD962	14	0.6928571428571428
M_ade_e	Limnochordia_sp_DTU-UNIPD975	16	0.5862499999999999
M_ade_e	Petrimonas_sp_DTU-UNIPD925	11	0.9545454545454546
M_ade_e	Ruminococcaceae_sp_DTU-UNIPD949	14	0.6185714285714285
M_ade_e	Ruminococcaceae_sp_DTU-UNIPD968	6	0.7683333333333332
M_ade_e	Sphaerochaeta_sp_DTU-UNIPD955	12	0.8708333333333332
M_ade_e	Sphaerochaeta_sp_DTU-UNIPD963	12	0.7966666666666665
M_ade_e	Tepidanaerobacter_sp_DTU-UNIPD928	10	0.9179999999999999
M_ade_e	bin_8_metaspades	4	1.0
M_adn_e	Bacteroidales_sp_DTU-UNIPD922	6	0.6133333333333333
M_adn_e	Burkholderiales_sp_DTU-UNIPD944	5	1.0
M_adn_e	Clostridia_sp_DTU-UNIPD946	2	1.0
M_adn_e	Sphaerochaeta_sp_DTU-UNIPD963	2	1.0
M_agm_e	Catabacter_sp_DTU-UNIPD932	1	0.01
M_agm_e	Clostridiales_sp_DTU-UNIPD926	1	0.05
M_agm_e	Limnochordia_sp_DTU-UNIPD975	2	0.07
M_akg_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	3	0.22666666666666666
M_akg_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	1	0.01
M_akg_e	Firmicutes_sp_DTU-UNIPD938	2	0.04
M_akg_e	Firmicutes_sp_DTU-UNIPD974	4	0.56
M_akg_e	Methanothermobacter_wolfeii_DTU-UNIPD957	5	0.31
M_akg_e	Syntrophomonas_sp_DTU-UNIPD935	2	0.51
M_ala__D_e	Acetomicrobium_sp_DTU-UNIPD972	5	0.354
M_ala__D_e	Acholeplasmatales_sp_DTU-UNIPD950	4	0.4525
M_ala__D_e	Acidaminococcales_sp_DTU-UNIPD952	5	0.30400000000000005
M_ala__D_e	Actinobacteria_sp_DTU-UNIPD965	1	1.0
M_ala__D_e	Alcaligenaceae_sp_DTU-UNIPD943	7	0.6047619047619047
M_ala__D_e	Aminobacterium_colombiense_DTU-UNIPD933	5	0.4786666666666667
M_ala__D_e	Bacillales_sp_DTU-UNIPD969	5	0.356
M_ala__D_e	Bacillus_sp_DTU-UNIPD918	3	0.03666666666666667
M_ala__D_e	Bacillus_sp_DTU-UNIPD958	10	0.21999999999999997
M_ala__D_e	Bacteroidales_sp_DTU-UNIPD922	14	0.20357142857142857
M_ala__D_e	Bacteroidales_sp_DTU-UNIPD936	2	0.41666666666666663
M_ala__D_e	Burkholderiales_sp_DTU-UNIPD944	6	0.4996360153256705
M_ala__D_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	6	0.09833333333333333
M_ala__D_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	12	0.20083333333333328
M_ala__D_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	8	0.355
M_ala__D_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	4	0.17
M_ala__D_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	5	0.46545454545454545
M_ala__D_e	Catabacter_sp_DTU-UNIPD932	3	0.6066666666666667
M_ala__D_e	Cloacibacillus_sp_DTU-UNIPD942	12	0.12583333333333335
M_ala__D_e	Clostridia_sp_DTU-UNIPD924	6	0.5750000000000001
M_ala__D_e	Clostridia_sp_DTU-UNIPD946	9	0.25111111111111106
M_ala__D_e	Clostridia_sp_DTU-UNIPD948	4	0.3125
M_ala__D_e	Clostridia_sp_DTU-UNIPD951	2	0.52
M_ala__D_e	Clostridia_sp_DTU-UNIPD961	3	0.37000000000000005
M_ala__D_e	Clostridia_sp_DTU-UNIPD964	2	0.505
M_ala__D_e	Clostridia_sp_DTU-UNIPD970	7	0.24285714285714288
M_ala__D_e	Clostridiales_sp_DTU-UNIPD926	6	0.33666666666666667
M_ala__D_e	Clostridiales_sp_DTU-UNIPD939	6	0.17166666666666666
M_ala__D_e	Clostridiales_sp_DTU-UNIPD956	5	0.2006666666666667
M_ala__D_e	Clostridiales_sp_DTU-UNIPD971	3	0.043333333333333335
M_ala__D_e	Firmicutes_sp_DTU-UNIPD921	1	1.0
M_ala__D_e	Firmicutes_sp_DTU-UNIPD923	6	0.4016666666666666
M_ala__D_e	Firmicutes_sp_DTU-UNIPD930	1	0.01
M_ala__D_e	Firmicutes_sp_DTU-UNIPD938	11	0.20090909090909087
M_ala__D_e	Firmicutes_sp_DTU-UNIPD940	7	0.20142857142857146
M_ala__D_e	Firmicutes_sp_DTU-UNIPD945	2	0.2
M_ala__D_e	Firmicutes_sp_DTU-UNIPD954	10	0.17700000000000002
M_ala__D_e	Firmicutes_sp_DTU-UNIPD959	3	0.41
M_ala__D_e	Firmicutes_sp_DTU-UNIPD966	1	0.6
M_ala__D_e	Firmicutes_sp_DTU-UNIPD974	5	0.21000000000000002
M_ala__D_e	Ilumatobacter_sp_DTU-UNIPD920	5	0.5900000000000001
M_ala__D_e	Limnochordia_sp_DTU-UNIPD962	2	0.51
M_ala__D_e	Limnochordia_sp_DTU-UNIPD975	4	0.22499999999999998
M_ala__D_e	Pseudorhodobacter_sp_DTU-UNIPD967	1	1.0
M_ala__D_e	Ruminococcaceae_sp_DTU-UNIPD949	8	0.13875
M_ala__D_e	Ruminococcaceae_sp_DTU-UNIPD968	5	0.24200000000000005
M_ala__D_e	Syntrophomonas_sp_DTU-UNIPD935	8	0.5775
M_ala__D_e	Syntrophothermus_sp_DTU-UNIPD934	1	0.04
M_ala__D_e	Tepidanaerobacter_sp_DTU-UNIPD928	8	0.22875
M_ala__D_e	bin_8_metaspades	1	1.0
M_ala__L_e	Acetomicrobium_sp_DTU-UNIPD972	10	0.19666666666666666
M_ala__L_e	Aminobacterium_colombiense_DTU-UNIPD933	9	0.6433333333333333
M_ala__L_e	Bacillus_sp_DTU-UNIPD918	12	0.34166666666666673
M_ala__L_e	Bacteroidales_sp_DTU-UNIPD936	8	0.4704166666666667
M_ala__L_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	16	0.2891666666666667
M_ala__L_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	10	0.3055454545454545
M_ala__L_e	Cloacibacillus_sp_DTU-UNIPD942	30	0.23833333333333334
M_ala__L_e	Clostridia_sp_DTU-UNIPD970	14	0.2492857142857143
M_ala__L_e	Clostridiales_sp_DTU-UNIPD939	14	0.20285714285714285
M_ala__L_e	Firmicutes_sp_DTU-UNIPD938	24	0.23124999999999998
M_ala__L_e	Firmicutes_sp_DTU-UNIPD945	11	0.23181818181818176
M_ala__L_e	Synergistetes_sp_DTU-UNIPD919	9	0.30222222222222217
M_ala__L_e	Syntrophomonas_sp_DTU-UNIPD935	12	0.33666666666666667
M_ala__L_e	Tepidanaerobacter_sp_DTU-UNIPD928	15	0.25466666666666665
M_alaala_e	Bacillales_sp_DTU-UNIPD969	4	0.7150000000000001
M_alaala_e	Bacillus_sp_DTU-UNIPD918	7	0.4985714285714286
M_alaala_e	Bacillus_sp_DTU-UNIPD958	8	0.3475
M_alaala_e	Bacteroidales_sp_DTU-UNIPD936	2	0.5833333333333333
M_alaala_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	5	0.5840000000000001
M_alaala_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	6	0.5083333333333334
M_alaala_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	7	0.5947619047619047
M_alaala_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	5	0.5900000000000001
M_alaala_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	5	0.5521818181818182
M_alaala_e	Catabacter_sp_DTU-UNIPD932	1	0.23
M_alaala_e	Cloacibacillus_sp_DTU-UNIPD942	8	0.38375
M_alaala_e	Clostridia_sp_DTU-UNIPD946	6	0.09166666666666667
M_alaala_e	Clostridiales_sp_DTU-UNIPD926	4	0.5925
M_alaala_e	Clostridiales_sp_DTU-UNIPD939	6	0.6933333333333334
M_alaala_e	Clostridiales_sp_DTU-UNIPD956	4	0.7975
M_alaala_e	Fermentimonas_massiliensis_DTU-UNIPD960	5	0.8
M_alaala_e	Firmicutes_sp_DTU-UNIPD923	3	0.9433333333333334
M_alaala_e	Firmicutes_sp_DTU-UNIPD940	6	0.5277777777777778
M_alaala_e	Firmicutes_sp_DTU-UNIPD945	3	0.22
M_alaala_e	Firmicutes_sp_DTU-UNIPD954	6	0.3983333333333334
M_alaala_e	Firmicutes_sp_DTU-UNIPD974	4	0.6275
M_alaala_e	Limnochordia_sp_DTU-UNIPD975	5	0.454
M_alaala_e	Petrimonas_sp_DTU-UNIPD925	3	1.0
M_alaala_e	Ruminococcaceae_sp_DTU-UNIPD949	6	0.35000000000000003
M_alaala_e	Ruminococcaceae_sp_DTU-UNIPD968	5	0.5753333333333334
M_alaala_e	Tepidanaerobacter_sp_DTU-UNIPD928	2	1.0
M_alltn_e	Alcaligenaceae_sp_DTU-UNIPD943	1	1.0
M_alltn_e	Burkholderiales_sp_DTU-UNIPD944	1	0.19
M_alltn_e	Ruminococcaceae_sp_DTU-UNIPD968	1	0.01
M_amp_e	Clostridiales_sp_DTU-UNIPD926	1	1.0
M_amp_e	Ilumatobacter_sp_DTU-UNIPD920	4	1.0
M_anhgm_e	Acetomicrobium_sp_DTU-UNIPD972	2	0.835
M_anhgm_e	Acidaminococcales_sp_DTU-UNIPD952	1	1.0
M_anhgm_e	Actinobacteria_sp_DTU-UNIPD965	1	0.72
M_anhgm_e	Aeromicrobium_sp_DTU-UNIPD973	2	1.0
M_anhgm_e	Aminobacterium_colombiense_DTU-UNIPD933	1	1.0
M_anhgm_e	Bacillales_sp_DTU-UNIPD969	2	0.78
M_anhgm_e	Bacillus_sp_DTU-UNIPD918	2	1.0
M_anhgm_e	Bacillus_sp_DTU-UNIPD958	2	0.895
M_anhgm_e	Bacteroidales_sp_DTU-UNIPD922	2	0.96
M_anhgm_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	2	0.935
M_anhgm_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	2	1.0
M_anhgm_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	2	1.0
M_anhgm_e	Cloacibacillus_sp_DTU-UNIPD942	2	0.8
M_anhgm_e	Clostridia_sp_DTU-UNIPD924	2	1.0
M_anhgm_e	Clostridia_sp_DTU-UNIPD946	1	1.0
M_anhgm_e	Clostridia_sp_DTU-UNIPD948	1	1.0
M_anhgm_e	Clostridia_sp_DTU-UNIPD951	2	1.0
M_anhgm_e	Clostridia_sp_DTU-UNIPD961	2	1.0
M_anhgm_e	Clostridia_sp_DTU-UNIPD964	2	0.865
M_anhgm_e	Clostridia_sp_DTU-UNIPD970	1	1.0
M_anhgm_e	Clostridiales_sp_DTU-UNIPD926	1	1.0
