compound	receiver	receives from	average probability to receive
M_ala__L_e	Clostridiales_sp_DTU-UNIPD939	7	0.4893506493506493
M_ala__L_e	Clostridiales_sp_DTU-UNIPD956	4	0.10250000000000001
M_ala__L_e	Clostridiales_sp_DTU-UNIPD971	1	0.01
M_ala__L_e	Fermentimonas_massiliensis_DTU-UNIPD960	1	0.01
M_ala__L_e	Firmicutes_sp_DTU-UNIPD930	2	0.31166666666666665
M_ala__L_e	Firmicutes_sp_DTU-UNIPD938	2	0.225
M_ala__L_e	Firmicutes_sp_DTU-UNIPD945	5	0.20800000000000002
M_ala__L_e	Firmicutes_sp_DTU-UNIPD954	2	0.065
M_ala__L_e	Firmicutes_sp_DTU-UNIPD959	3	0.17
M_ala__L_e	Firmicutes_sp_DTU-UNIPD966	9	0.18592592592592594
M_ala__L_e	Firmicutes_sp_DTU-UNIPD974	11	0.8445454545454546
M_ala__L_e	Limnochordia_sp_DTU-UNIPD962	5	0.21799999999999997
M_ala__L_e	Petrimonas_sp_DTU-UNIPD925	6	0.15833333333333335
M_ala__L_e	Pseudorhodobacter_sp_DTU-UNIPD967	8	0.22750000000000004
M_ala__L_e	Rikenellaceae_sp_DTU-UNIPD929	8	0.13250000000000003
M_ala__L_e	Ruminococcaceae_sp_DTU-UNIPD949	3	0.26666666666666666
M_ala__L_e	Sphaerochaeta_sp_DTU-UNIPD955	1	0.01
M_ala__L_e	Synergistetes_sp_DTU-UNIPD919	8	0.09125
M_ala__L_e	Syntrophomonas_sp_DTU-UNIPD935	5	0.22599999999999998
M_ala__L_e	Syntrophothermus_sp_DTU-UNIPD934	8	0.27625
M_ala__L_e	Tepidanaerobacter_sp_DTU-UNIPD928	7	0.2395238095238095
M_alaala_e	Aeromicrobium_sp_DTU-UNIPD973	10	0.21800000000000003
M_alaala_e	Bacillales_sp_DTU-UNIPD969	6	0.5444444444444444
M_alaala_e	Bacteroidales_sp_DTU-UNIPD936	9	0.21666666666666667
M_alaala_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	2	0.045
M_alaala_e	Catabacter_sp_DTU-UNIPD932	2	0.07500000000000001
M_alaala_e	Cloacibacillus_sp_DTU-UNIPD942	1	0.02
M_alaala_e	Clostridia_sp_DTU-UNIPD946	3	0.03
M_alaala_e	Clostridiales_sp_DTU-UNIPD939	5	0.36018181818181816
M_alaala_e	Firmicutes_sp_DTU-UNIPD940	1	0.01
M_alaala_e	Firmicutes_sp_DTU-UNIPD974	1	0.04
M_alaala_e	Methanoculleus_thermophilus_DTU-UNIPD927	3	0.09999999999999999
M_alaala_e	Methanothermobacter_wolfeii_DTU-UNIPD957	2	0.8333333333333333
M_alaala_e	Petrimonas_sp_DTU-UNIPD925	9	0.02333333333333333
M_alaala_e	Ruminococcaceae_sp_DTU-UNIPD949	6	0.22555555555555554
M_alaala_e	Sphaerochaeta_sp_DTU-UNIPD955	21	1.0
M_alaala_e	Sphaerochaeta_sp_DTU-UNIPD963	22	0.9340909090909091
M_alaala_e	Synergistetes_sp_DTU-UNIPD919	23	0.5581159420289855
M_alltn_e	Bacillales_sp_DTU-UNIPD969	1	1.0
M_alltn_e	Clostridiales_sp_DTU-UNIPD939	2	0.1
M_amp_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	1	1.0
M_amp_e	Clostridia_sp_DTU-UNIPD970	1	1.0
M_amp_e	Clostridiales_sp_DTU-UNIPD926	1	1.0
M_amp_e	Clostridiales_sp_DTU-UNIPD971	2	1.0
M_anhgm_e	Catabacter_sp_DTU-UNIPD932	42	0.9411904761904762
M_anhgm_e	Limnochordia_sp_DTU-UNIPD962	28	0.8964285714285716
M_arab__D_e	Methanoculleus_thermophilus_DTU-UNIPD927	2	1.0
M_arab__L_e	Clostridia_sp_DTU-UNIPD924	1	1.0
M_arab__L_e	Clostridia_sp_DTU-UNIPD946	3	1.0
M_arab__L_e	Clostridia_sp_DTU-UNIPD948	1	1.0
M_arab__L_e	Methanothermobacter_wolfeii_DTU-UNIPD957	3	1.0
M_arab__L_e	Petrimonas_sp_DTU-UNIPD925	2	0.15500000000000003
M_arab__L_e	Rikenellaceae_sp_DTU-UNIPD929	1	1.0
M_arab__L_e	Syntrophothermus_sp_DTU-UNIPD934	1	0.23
