	community	medium	receiver	donor	compound	scs	mus	mps	smetana
8336	community241	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Clostridiales_sp_DTU-UNIPD956	M_ac_e	1.0	0.04	1	0.04
8415	community249	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Firmicutes_sp_DTU-UNIPD921	M_ac_e	1.0	0.02	1	0.02
8446	community251	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Clostridia_sp_DTU-UNIPD924	M_ac_e	1.0	0.01	1	0.01
8464	community253	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Tepidanaerobacter_sp_DTU-UNIPD928	M_ac_e	1.0	0.03	1	0.03
8578	community267	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Actinobacteria_sp_DTU-UNIPD965	M_ac_e	1.0	0.01	1	0.01
8649	community273	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Cloacibacillus_sp_DTU-UNIPD942	M_ac_e	1.0	0.02	1	0.02
8688	community278	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Clostridia_sp_DTU-UNIPD961	M_ac_e	1.0	0.01	1	0.01
8702	community279	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Clostridia_sp_DTU-UNIPD964	M_ac_e	1.0	0.01	1	0.01
8764	community284	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Bacteroidales_sp_DTU-UNIPD922	M_ac_e	1.0	0.01	1	0.01
9348	community342	minimal	Azonexus_sp_DTU-UNIPD953	Pseudorhodobacter_sp_DTU-UNIPD967	M_ac_e	1.0	0.01	1	0.01
9360	community343	minimal	Azonexus_sp_DTU-UNIPD953	Bacillus_sp_DTU-UNIPD918	M_ac_e	1.0	0.01	1	0.01
9408	community347	minimal	Azonexus_sp_DTU-UNIPD953	Clostridia_sp_DTU-UNIPD948	M_ac_e	1.0	0.01	1	0.01
9420	community348	minimal	Azonexus_sp_DTU-UNIPD953	Clostridiales_sp_DTU-UNIPD956	M_ac_e	1.0	0.06	1	0.06
9503	community356	minimal	Azonexus_sp_DTU-UNIPD953	Firmicutes_sp_DTU-UNIPD921	M_ac_e	1.0	0.01	1	0.01
9557	community360	minimal	Azonexus_sp_DTU-UNIPD953	Tepidanaerobacter_sp_DTU-UNIPD928	M_ac_e	1.0	0.01	1	0.01
9595	community364	minimal	Azonexus_sp_DTU-UNIPD953	Syntrophomonas_sp_DTU-UNIPD935	M_ac_e	1.0	0.01	1	0.01
9651	community369	minimal	Azonexus_sp_DTU-UNIPD953	Ruminococcaceae_sp_DTU-UNIPD949	M_ac_e	1.0	0.03	1	0.03
9722	community374	minimal	Azonexus_sp_DTU-UNIPD953	Actinobacteria_sp_DTU-UNIPD965	M_ac_e	1.0	0.02	1	0.02
9832	community385	minimal	Azonexus_sp_DTU-UNIPD953	Clostridia_sp_DTU-UNIPD961	M_ac_e	1.0	0.01	1	0.01
9873	community389	minimal	Azonexus_sp_DTU-UNIPD953	Limnochordia_sp_DTU-UNIPD975	M_ac_e	1.0	0.05	1	0.05
9897	community391	minimal	Azonexus_sp_DTU-UNIPD953	Bacteroidales_sp_DTU-UNIPD922	M_ac_e	1.0	0.02	1	0.02
11325	community545	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Bacillus_sp_DTU-UNIPD918	M_ac_e	1.0	0.01	1	0.01
11415	community550	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Clostridiales_sp_DTU-UNIPD956	M_ac_e	1.0	0.01	1	0.01
11465	community554	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Firmicutes_sp_DTU-UNIPD974	M_ac_e	1.0	0.01	1	0.01
11514	community558	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Firmicutes_sp_DTU-UNIPD921	M_ac_e	1.0	0.02	1	0.02
11541	community560	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Clostridia_sp_DTU-UNIPD924	M_ac_e	1.0	0.02	1	0.02
11564	community562	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Tepidanaerobacter_sp_DTU-UNIPD928	M_ac_e	1.0	0.02	1	0.02
11616	community566	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Syntrophomonas_sp_DTU-UNIPD935	M_ac_e	1.0	0.01	1	0.01
11652	community569	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_ac_e	1.0	0.01	1	0.01
11810	community582	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Cloacibacillus_sp_DTU-UNIPD942	M_ac_e	1.0	0.11	1	0.11
12140	community610	minimal	Bacillus_sp_DTU-UNIPD918	Tepidanaerobacter_sp_DTU-UNIPD928	M_ac_e	1.0	0.04	1	0.04
12170	community612	minimal	Bacillus_sp_DTU-UNIPD918	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_ac_e	1.0	0.01	1	0.01
12186	community614	minimal	Bacillus_sp_DTU-UNIPD918	Syntrophomonas_sp_DTU-UNIPD935	M_ac_e	1.0	0.12	1	0.12
12233	community619	minimal	Bacillus_sp_DTU-UNIPD918	Ruminococcaceae_sp_DTU-UNIPD949	M_ac_e	1.0	0.03	1	0.03
14655	community829	minimal	Clostridiales_sp_DTU-UNIPD956	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_ac_e	1.0	0.02	1	0.02
14858	community849	minimal	Actinobacteria_sp_DTU-UNIPD965	Clostridiales_sp_DTU-UNIPD956	M_ac_e	1.0	0.5	1	0.5
